customer_id,age,gender,state,city_tier,tenure_months,contract_type,payment_method,paperless_billing,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,monthly_charges,total_charges,avg_monthly_gb_download,customer_service_calls,late_payments,nps_score,satisfaction_score,churn
10000,52.0,Male,GA,Tier1,36.0,Month-to-Month,Electronic Check,No,Yes,No,DSL,No,No,No,No,No,No,20.49,971.04,67.9,1,0,,5.0,0
10001,42.0,Male,TX,Tier1,28.0,Month-to-Month,Electronic Check,Yes,Yes,No,DSL,No,No,Yes,No,Yes,No,25.34,749.42,21.2,1,0,7.2,2.7,1
10002,54.0,Female,TX,Tier3,3.0,Month-to-Month,Credit Card,Yes,Yes,No,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,31.12,85.15,1.0,2,0,10.0,3.1,1
10003,67.0,Male,MI,Tier2,72.0,One Year,Mailed Check,Yes,Yes,No,DSL,No,Yes,No,No,No,No,48.29,3527.2,1248.0905090420583,2,0,5.3,3.8,0
10004,41.0,Male,MI,Tier3,22.0,Month-to-Month,Bank Transfer,Yes,Yes,No,DSL,No,No,No,No internet,No,Yes,26.47,609.5,52.9,4,4,7.6,3.9,0
10005,41.0,Female,GA,Tier3,16.0,Month-to-Month,Mailed Check,Yes,Yes,Yes,No,Yes,Yes,No,No internet,No,No internet,47.01,958.4,6.5,3,0,5.2,4.2,0
10006,68.0,Female,PA,Tier1,11.0,Month-to-Month,Bank Transfer,No,No,Yes,DSL,No internet,No,No internet,No,Yes,No,37.62,411.63,6.5,3,0,8.5,3.2,1
10007,56.0,female,FL,Tier3,54.0,One Year,Electronic Check,no,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,128.71348368559882,1968.19,22.3,1,1,7.6,2.6,0
10008,37.0,Female,NY,Tier1,6.0,One Year,Electronic Check,Yes,Yes,No phone service,No,No,Yes,Yes,No internet,No,No,32.8,184.85,6.2,1,0,8.2,5.0,0
10009,53.0,Male,CA,Tier2,8.0,One Year,Mailed Check,Yes,Yes,No,Fiber Optic,No,No internet,No,Yes,No,Yes,45.58,195.89,,1,1,5.9,2.6,1
10010,38.0,Male,NY,Tier2,3.0,Month-to-Month,Credit Card,Yes,Yes,Yes,DSL,No,No,No,Yes,No,Yes,33.28,99.99,5.0,0,0,4.7,3.3,1
10011,38.0,Other,NC,Tier1,34.0,Month-to-Month,Mailed Check,No,No,No,Fiber Optic,No,No,No,No,No internet,Yes,62.05,2195.05,11.0,2,0,3.8,3.6,0
10012,48.0,Female,IL,tier2,21.0,Month-to-Month,Electronic Check,No,Yes,Yes,DSL,No internet,No,No,Yes,No,No internet,35.24,753.64,8.7,1,0,,4.1,0
10013,18.0,male,PA,Tier2,,Month-to-Month,Electronic Check,No,Yes,No phone service,Fiber Optic,Yes,No,No,Yes,No,No,64.65,1306.68,57.5,1,2,8.1,3.9,0
10014,19.0,Male,IL,Tier1,5.0,Month-to-Month,Credit Card,Yes,Yes,Yes,Fiber Optic,No internet,Yes,No,No,Yes,Yes,53.3,425.03,22.9,4,2,7.8,2.9,0
10015,36.0,Female,CA,tier1,25.0,One Year,Electronic Check,Yes,No,No,Cable,Yes,No,Yes,Yes,Yes,Yes,53.47,1217.78,20.6,2,0,8.5,3.7,0
10016,29.0,Male,MI,Tier2,34.0,Month-to-Month,Electronic Check,Yes,No,No,DSL,Yes,No,Yes,No,No,No,42.35,1362.6,113.9,1,0,5.9,1.9,1
10017,49.0,Female,CA,Tier3,10.0,Two Year,Credit Card,No,Yes,No phone service,Fiber Optic,Yes,Yes,No,No,No,No,41.64,303.89,1.9,3,0,6.8,5.0,0
10018,31.0,F,FL,Tier2,38.0,One Year,Credit Card,Yes,Yes,No,DSL,No internet,Yes,No,Yes,No,Yes,48.02,1721.13,210.0,2,1,2.3,2.7,0
10019,23.0,Other,NY,Tier3,10.0,Month-to-Month,Electronic Check,No,Yes,No,Fiber Optic,No,No,No,No,Yes,No,34.51,349.6,239.2,5,0,6.7,4.4,0
10020,66.0,Female,GA,Tier1,34.0,Two Year,Electronic Check,Yes,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,31.32,1125.98,16.9,1,2,10.0,2.5,0
10021,41.0,Female,OH,Tier1,1.0,One Year,Bank Transfer,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,No,Yes,No internet,53.99,0.0,11.1,2,2,7.4,4.1,0
10022,46.0,F,OH,Tier2,19.0,One Year,Credit Card,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,No,Yes,Yes,62.02,1234.81,150.5,1,1,10.0,2.5,0
10023,23.0,Female,GA,Tier1,72.0,Two Year,Credit Card,No,Yes,No,Cable,No,Yes,No,Yes,Yes,No internet,43.25,3190.91,13.5,0,2,7.9,4.4,0
10024,36.0,Male,MI,Tier3,72.0,Month-to-Month,Credit Card,Yes,No,Yes,No,Yes,No,No,Yes,No internet,No,35.28,6890.77892818061,34.1,4,0,9.0,5.0,0
10025,46.0,Female,OH,Tier2,7.0,Two Year,Bank Transfer,no,Yes,Yes,Fiber Optic,No,No internet,No,No,Yes,No internet,33.78,10221.139263825426,30.5,0,0,8.4,3.6,0
10026,27.0,Male,MI,Tier1,13.0,Month-to-Month,Credit Card,Yes,No,No,DSL,No,No,Yes,No,Yes,No,34.3,,41.8,5,1,,4.1,1
