application_id,age,gender,education,marital_status,dependents,employment_type,employment_length_years,occupation,annual_income,monthly_income,credit_score,existing_loans,total_existing_debt,credit_history_length_years,num_credit_inquiries_6m,delinquent_accounts,loan_amount,loan_term_months,loan_purpose,interest_rate,debt_to_income_ratio,loan_to_income_ratio,monthly_payment,payment_to_income_ratio,property_value,property_type,bank_customer_years,savings_account_balance,checking_account_balance,loan_default
20000,39,Female,High School,Married,1,Salaried,0.4,Manager,20000.0,1666.67,847,1,132.15,,1,1,34622.11,60,Business,19.91,0.007,1.731,915.54,0.549,175546.98,Apartment,7.5,11110.26,6698.68,0
20001,40,Female,Master,Single,1,Contract,0.2,Professional,35930.87,2994.24,702,2,49527.78,,1,0,19367.5,36,Medical,15.93,1.378,0.539,680.23,0.227,96046.83,house,8.4,3609.57,500.14,0
20002,21,Female,High School,Married,0,Self-Employed,,Sales,93742.01,7811.83,825,2,24331.49,2.0,1,0,9191.59,36,Debt Consolidation,18.69,0.26,0.098,335.49,0.043,293715.82,Condo,1.2,63849.09,5406.59,0
20003,24,Male,High School,Single,3,Salaried,0.8,Other,58058.35,4838.2,680,2,2571.45,1.0,0,0,7748.41,48,Education,8.57,0.044,0.133,191.24,0.04,169866.11,Condo,,,363.47,0
20004,65,Other,Master,Married,1,Salaried,0.6,Clerical,20000.0,1666.67,601,1,1507.82,1.0,0,2,55835.42,36,Medical,10.92,0.075,2.0,1825.87,1.0,114670.78,Condo,4.1,313.21,2662.01,1
20005,35,Female,Bachelor,Married,2,Self-Employed,3.9,Manager,55160.28,4596.69,710,3,14303.42,5.5,0,1,27125.89,36,Education,19.51,0.259,0.492,1001.34,0.218,,Apartment,2.3,4389.21,2623.26,0
20006,21,Male,High School,Single,1,Salaried,6.5,Clerical,22259.31,1854.94,686,0,1186.28,,1,0,21133.06,24,Home Improvement,14.38,0.053,0.949,1018.46,0.549,573047.04,House,,29427.23,449.29,0
20007,52,Female,High School,Married,2,Salaried,13.5,Service,121840.23,10153.35,542,3,5540.42,12.3,1,0,36355.21,24,Home Improvement,9.89,0.045,0.298,1675.76,0.165,76172.38,Apartment,1.6,4929.92,212.61,0
20008,51,Male,bachelor,Married,2,Salaried,4.9,Technician,52975.97,4414.66,697,1,9679.65,3.0,1,0,21452.78,60,Other,15.37,0.183,0.405,514.54,0.117,73725.89,Condo,21.4,1133.72,75.3,0
20009,35,Male,Master,Married,1,Contract,13.5,Clerical,42710.66,3559.22,634,3,48606.56,,1,0,12250.3,36,Medical,17.4,1.138,0.287,439.2,0.123,130448.25,Condo,1.1,9839.81,251.1,0
20010,32,Male,bachelor,Single,1,Salaried,3.7,Clerical,91741.37,7645.11,735,3,2419.48,1.0,2,0,7585.17,36,Business,14.58,0.026,0.083,261.39,0.034,78263.96,Condo,3.5,5542.67,10673.76,0
20011,37,Male,Bachelor,Single,3,Salaried,4.6,Other,39458.69,3288.22,659,0,4455.19,9.5,0,1,32890.55,48,Home Improvement,12.53,0.113,0.834,874.72,0.266,,House,9.9,,142.97,0
