property_id,neighborhood,zip_code,distance_to_downtown_km,distance_to_school_km,distance_to_metro_km,property_type,year_built,property_age,lot_size_sqft,living_area_sqft,num_bedrooms,num_bathrooms,num_floors,num_rooms,overall_quality,overall_condition,has_garage,garage_size_cars,has_basement,basement_sqft,has_pool,has_fireplace,num_fireplaces,central_air,heating_type,roof_style,exterior_material,years_since_remodel,kitchen_quality,months_since_last_sale,sale_season,sale_type,school_rating,crime_rate_per_1000,sale_price
30000,Suburb_East,10009,4.8,3.8,1.7,Townhouse,1996.0,28,11231,1024,4,4.0,2,6,6,6,1,0.0,1,614.0,0,0,0,Yes,Gas,Flat,Vinyl,2.0,Fair,80,Summer,Normal,4.7,1.4,125668.14
30001,Suburb_East,10013,11.7,1.6,4.2,Townhouse,1993.0,31,4201,1672,4,1.0,1,5,9,3,1,1.0,0,0.0,0,0,0,Yes,Other,Gable,Brick,33.0,Average,28,Winter,Normal,6.0,5.1,146109.46
30002,Downtown,10000,3.1,1.8,4.9,Condo,1976.0,48,64419,2687,2,2.0,1,3,3,7,0,,1,641.0,0,1,1,Yes,Gas,Flat,Stucco,12.0,Fair,122,Fall,Normal,10.0,4.9,158221.62
30003,Suburb_North,10000,3.1,4.9,13.3,Single Family,1967.0,57,8634,1191,4,3.5,2,6,7,6,1,3.0,0,,0,1,1,Yes,Gas,Hip,Vinyl,18.0,Fair,39,Summer,Normal,7.0,1.9,114555.98
30004,Suburb_South,10015,48.8,3.5,12.1,Single Family,1961.0,63,4638,1949,5,3.5,2,6,6,4,1,2.0,0,0.0,0,1,1,No,Gas,Gable,Wood,19.0,Average,52,Fall,Normal,7.7,4.4,108040.95
30005,Suburb_North,10018,17.5,4.4,10.0,Townhouse,1975.0,49,8095,3243,4,2.0,1,6,6,3,1,2.0,0,0.0,0,0,0,No,Oil,Flat,Brick,,Excellent,5,Spring,New,7.6,1.0,99802.64
30006,Rural,10003,5.0,2.3,1.8,Single Family,1974.0,50,2610,1126,3,2.0,1,5,4,6,1,1.0,1,823.0,1,0,0,Yes,Gas,Gable,Vinyl,3.0,Average,39,Summer,Normal,,4.9,63147.16
30007,Suburb_East,10014,33.6,2.7,1.9,Single Family,1984.0,40,6920,2335,3,3.0,1,5,6,8,0,,1,,0,0,0,No,Electric,Gable,Vinyl,2.0,Good,11,Summer,Normal,10.0,17.3,187900.21
30008,Suburb_West,10010,24.1,3.3,5.9,Single Family,,7,9165,972,3,3.0,2,4,7,7,1,2.0,1,,0,1,2,Yes,Gas,Gable,Brick,26.0,Average,108,Fall,Normal,8.6,5.9,167242.86
30009,Downtown,10013,22.4,2.6,2.8,Single Family,,56,7830,1056,4,2.0,1,7,5,8,1,1.0,0,0.0,0,0,0,Yes,Oil,Flat,Brick,0.0,Average,31,Summer,Normal,9.9,11.9,111139.68
30010,Suburb_North,10018,33.1,1.2,2.9,Townhouse,1977.0,47,8885,1030,6,3.0,2,7,2,7,1,2.0,1,485.0,0,1,1,Yes,Gas,Flat,Stucco,0.0,Average,129,Winter,Foreclosure,6.1,7.7,49987.69
30011,Suburb_South,10003,11.1,1.3,5.7,Multi-family,1981.0,43,5727,2690,1,3.5,2,4,7,8,1,1.0,1,2130.0,0,1,1,Yes,Gas,Hip,Stucco,,Average,7,Winter,Normal,5.8,2.1,282078.71
30012,Suburb_North,10008,4.9,3.7,0.9,Condo,1992.0,32,5553,1324,4,2.5,1,7,8,8,1,2.0,0,0.0,0,0,0,N,Electric,Gable,Stucco,,Average,115,Summer,Normal,7.7,4.3,251068.91
30013,Rural,10017,10.6,4.4,1.7,Single Family,1991.0,33,17096,2054,5,3.0,2,6,6,5,1,,0,0.0,0,0,0,Yes,Gas,Gable,Brick,,Average,45,Summer,Normal,4.9,3.4,118918.3
30014,downtown,10018,9.1,1.4,4.8,Townhouse,1990.0,34,2948,2088,3,1.5,2,6,6,5,1,1.0,0,0.0,0,1,1,Yes,Electric,Flat,Brick,12.0,Fair,20,Spring,Normal,5.3,7.2,116421.81
30015,Suburb_West,10002,9.5,3.8,6.2,Single Family,2017.0,7,35022,2369,3,3.5,1,4,9,4,0,,1,1740.0,0,0,0,Yes,Gas,Hip,Vinyl,22.0,Average,43,Fall,Short Sale,8.1,2.9,326395.23
30016,Suburb_South,10010,21.7,3.0,5.1,Single Family,1998.0,26,21161,1634,2,3.0,2,3,6,7,0,,0,0.0,0,0,0,Yes,Gas,Gable,Wood,0.0,Good,1,Summer,Normal,8.6,2.9,182142.42
30017,Suburb_East,10001,35.9,2.6,2.5,Single Family,,60,13341,1622,2,1.0,2,3,7,6,1,0.0,1,552.0,0,0,0,Yes,Gas,Hip,Brick,21.0,Average,35,Fall,Normal,,9.3,135617.97
30018,Suburb_South,10019,9.4,2.1,13.8,Condo,1982.0,42,8620,1880,3,3.5,1,4,7,6,1,1.0,0,0.0,0,0,0,Yes,Oil,Gable,Brick,24.0,Average,24,Summer,Normal,8.0,1.3,177223.96
30019,Suburb_West,10006,2.5,14.0,2.4,Single Family,2003.0,21,24417,1342,3,1.5,2,6,9,8,1,1.0,1,47.0,0,0,0,Yes,Gas,Flat,Vinyl,29.0,Good,9,Winter,Normal,4.7,4.4,279069.56
30020,Suburb_South,10016,5.1,1.4,5.4,Townhouse,1950.0,74,5773,1290,4,2.5,2,7,5,8,1,2.0,0,0.0,0,0,0,Yes,Gas,Flat,Vinyl,6.0,Average,28,Fall,Normal,5.3,10.3,103197.21
30021,Downtown,10003,7.8,4.2,1.7,Single Family,1955.0,69,17467,1260,6,2.0,1,9,4,7,1,2.0,0,0.0,0,0,0,Yes,Gas,Gable,Vinyl,19.0,Excellent,68,Fall,Normal,,5.7,122131.48
30022,Suburb_East,10018,8.1,2.9,4.9,Townhouse,1982.0,42,5502,2219,3,3.5,2,5,9,5,1,1.0,1,799.0,0,0,0,Yes,Gas,Hip,Wood,7.0,Good,219,Fall,Foreclosure,10.0,2.1,215219.21
30023,Suburb_East,10005,7.3,1.4,4.2,Condo,2009.0,15,7064,2006,4,1.5,2,6,7,6,1,,1,1551.0,0,1,2,Yes,Gas,Hip,Vinyl,9.0,Fair,27,Winter,Short Sale,6.0,2.5,287149.82
30024,Suburb_East,10010,21.1,2.9,5.4,Townhouse,1953.0,71,15027,2036,4,1.5,2,5,6,7,1,2.0,1,627.0,0,1,3,Yes,Electric,Flat,Stucco,,Good,44,Fall,Normal,6.1,12.6,171904.65
30025,Rural,10017,50.0,1.3,3.2,Single Family,1962.0,62,14847,2201,3,3.5,1,4,7,5,1,1.0,1,331.0,0,0,0,N,Gas,Gable,Brick,1.0,Average,35,Summer,Normal,4.8,0.5,138424.59
30026,Suburb_West,10006,9.0,4.3,8.0,Condo,2001.0,23,12598,4256,5,3.0,1,7,4,8,1,0.0,1,890.0,0,1,2,Yes,Gas,Gable,Brick,0.0,Good,142,Winter,Normal,5.6,12.7,393496.5
30027,Suburb_East,10019,34.0,5.2,7.0,Multi-family,1962.0,62,3052,1412,2,2.5,2,5,6,1,0,0.0,1,793.0,0,1,1,Yes,Electric,Hip,Vinyl,19.0,Average,15,Summer,Foreclosure,7.8,1.3,12516.33
30028,Downtown,10001,2.5,3.8,5.3,Condo,1970.0,54,11153,1442,4,3.0,2,7,5,7,1,3.0,1,771.0,0,0,0,Yes,Gas,Gable,Vinyl,3.0,Average,78,Winter,Normal,4.3,3.8,167497.09
30029,Rural,10009,26.8,3.2,2.4,Townhouse,1983.0,41,5965,2799,5,1.0,2,6,9,6,1,3.0,1,1849.0,0,1,3,Yes,Gas,Flat,Brick,6.0,Good,5,Fall,Normal,,12.0,231330.79
30030,Downtown,10005,6.0,2.4,2.8,Condo,1979.0,45,9519,2803,2,1.0,2,4,8,6,1,0.0,1,617.0,0,1,3,Yes,Electric,Gable,Vinyl,5.0,Average,14,Spring,Normal,5.0,3.0,290116.75
30031,Rural,10016,13.4,5.7,5.8,Multi-family,1991.0,33,9113,1558,3,2.5,3,4,7,4,1,1.0,1,1059.0,0,0,0,Yes,Other,Flat,Vinyl,2.0,Good,7,Fall,Normal,8.1,4.9,81223.87
30032,Suburb_North,10008,5.3,4.2,1.0,Townhouse,1993.0,31,4679,1073,1,2.5,1,2,8,2,0,0.0,1,755.0,0,1,1,Yes,Gas,Hip,Stone,1.0,Average,48,Summer,Normal,10.0,1.8,47454.59
30033,Downtown,10018,4.7,2.5,7.8,Condo,2007.0,17,9195,1139,3,3.0,2,6,7,5,1,2.0,1,,0,0,0,Yes,Gas,Gable,Wood,7.0,Poor,6,Winter,Normal,5.5,1.8,165767.04
30034,Suburb_East,10008,16.2,3.3,7.4,Single Family,1962.0,62,8331,2235,5,2.5,1,8,7,10,1,,1,746.0,0,0,0,Yes,Gas,Gable,Wood,0.0,Average,140,Fall,Normal,7.3,2.6,294837.86
30035,Suburb_North,10019,5.5,3.2,16.9,Single Family,1989.0,35,18251,1523,5,2.0,1,7,9,6,1,0.0,1,81.0,1,1,1,No,Gas,Hip,Wood,31.0,Good,28,Fall,Foreclosure,4.7,4.4,192607.58
30036,Suburb_North,10015,2.9,4.2,6.6,Condo,2001.0,23,8132,1979,3,3.0,1,5,7,4,1,1.0,1,40.0,0,0,0,Yes,Gas,Gable,Brick,10.0,Good,104,Winter,Normal,8.0,4.4,174843.86
30037,Suburb_North,10006,3.6,2.8,3.6,Condo,1998.0,26,46274,2382,3,2.0,2,5,6,7,1,1.0,0,0.0,0,1,2,Yes,Gas,Gable,Brick,10.0,Fair,143,Spring,Short Sale,,3.3,352448.24
30038,Suburb_South,10010,9.6,3.5,4.5,Condo,1910.0,114,7169,1728,4,1.5,2,7,2,9,1,1.0,0,0.0,0,1,1,Yes,Oil,Hip,Vinyl,8.0,Good,23,Spring,Normal,4.4,1.2,33980.53
